id,rank,win%,k/d,dmg/rnd,region,acc_head_%,acc_head_hits,acc_body_%,acc_body_hits,acc_leg_%,acc_leg_hits,matchs_played,headshot_%,wins_total,kills_total,avg_kill_per_rnd,top_agent_nam,top_agent_time_hrs,top_agent_matchs,top_agent_win_%,top_agent_kd_avg,top_agent_adr
Harsh#MARS,Ascendant 1,53.7,0.96,133.7,IN,23.4,216,70,646,6.6,61,"1,489",18.1,730,"23,208",0.7,Jett,148,251,48.6,1.09,148.1
Sex Luver#arrow,Silver 2,44.7,0.96,129.1,BH,26,199,68.8,526,5.2,40,"1,237",23.4,597,"17,417",0.7,Jett,273,464,47.6,0.9,134
Player 5#8669,Unranked,50,0.47,75.4,PK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isu#Lila,Immortal 3,56.1,1.24,168.6,RU,25.9,244,67.8,638,6.3,59,"1,501",28.9,776,"27,099",0.9,Chamber,336,586,54.8,1.22,162.6
berki#1307,Ascendant 2,72.7,0.98,155.3,DE,20,255,76,967,3.9,50,456,15.5,258,"8,007",0.8,Raze,148,251,63.7,1.33,183.8
Unfathomable#2Mao,Ascendant 1,51.1,1.01,152.7,US,25.5,258,69.6,703,4.9,49,570,17.7,307,"10,109",0.9,Chamber,90,159,60.4,1.05,153.4
jelly frog#kero,Ascendant 1,50,0.44,86,IT,24.5,280,70.2,803,5.3,61,286,15.2,149,"3,988",0.7,Sage,93,165,47.3,0.9,122.3
Guthraiel#7876,Iron 3,47.4,0.72,113.6,CZ,8.6,103,75.9,905,15.4,184,57,10.2,31,615,0.5,Sage,15,28,64.3,0.66,99.8
squirrt#weed,Silver 1,50.7,1.03,127,PE,17.6,216,77.8,953,4.6,56,723,16.4,336,"9,608",0.7,Sage,112,187,45.5,0.89,123.7
Fueled By Blood#ILYSM,Gold 3,60,0.88,123.8,PH,14.4,152,76,802,9.6,101,316,12,166,"4,663",0.7,Omen,96,168,55.4,1.05,143.1
narX#1999,Silver 3,53.6,1.08,143.4,IN,13.7,147,77.6,832,8.7,93,736,13.1,364,"10,854",0.7,Killjoy,152,246,49.6,1.07,147.5
OP Deegz2323#Death,Silver 3,46.7,0.89,136.5,AU,15.7,209,79.1,1054,5.2,69,426,15.3,201,"6,678",0.7,Sage,48,83,56.6,0.96,138.5
recklessxss#9628,Bronze 3,48.3,1.03,130.7,IN,10.5,132,78.7,993,10.9,137,169,9.7,80,"2,470",0.7,Omen,44,77,48.1,0.95,125.7
